job_id,title,company,location,description,experience_level,clean_title,clean_description,extracted_skills,role_category,skills_text
1,Machine Learning Engineer,RBC,Toronto ON,"Build machine learning models using Python, SQL, PyTorch, Docker, AWS, MLflow, model deployment, and data pipelines.",Entry Level,machine learning engineer,"build machine learning models using python, sql, pytorch, docker, aws, mlflow, model deployment, and data pipelines.","['python', 'sql', 'aws', 'docker', 'pytorch', 'mlflow', 'data pipelines', 'model deployment', 'machine learning']",AI/ML,"python, sql, aws, docker, pytorch, mlflow, data pipelines, model deployment, machine learning"
2,Machine Learning Engineer,TD Bank,Toronto ON,"Develop ML models with Python, PyTorch, scikit-learn, Pandas, SQL, model monitoring, and AWS.",Entry Level,machine learning engineer,"develop ml models with python, pytorch, scikit-learn, pandas, sql, model monitoring, and aws.","['python', 'sql', 'aws', 'pandas', 'scikit-learn', 'pytorch', 'model monitoring', 'monitoring']",AI/ML,"python, sql, aws, pandas, scikit-learn, pytorch, model monitoring, monitoring"
3,Machine Learning Engineer,Shopify,Toronto ON,"Work on recommendation models using Python, PyTorch, TensorFlow, embeddings, vector databases, Docker, and REST APIs.",Entry Level,machine learning engineer,"work on recommendation models using python, pytorch, tensorflow, embeddings, vector databases, docker, and rest apis.","['python', 'docker', 'pytorch', 'tensorflow', 'embeddings', 'vector databases', 'rest apis']",AI/ML,"python, docker, pytorch, tensorflow, embeddings, vector databases, rest apis"
4,Machine Learning Engineer,Bell,Toronto ON,"Train and evaluate machine learning systems using Python, scikit-learn, SQL, Pandas, NumPy, MLflow, and model deployment.",Entry Level,machine learning engineer,"train and evaluate machine learning systems using python, scikit-learn, sql, pandas, numpy, mlflow, and model deployment.","['python', 'sql', 'pandas', 'numpy', 'scikit-learn', 'mlflow', 'model deployment', 'machine learning']",AI/ML,"python, sql, pandas, numpy, scikit-learn, mlflow, model deployment, machine learning"
5,AI Engineer,Cohere,Toronto ON,"Build AI applications using Python, NLP, embeddings, vector databases, PyTorch, Docker, Kubernetes, and cloud deployment.",Entry Level,ai engineer,"build ai applications using python, nlp, embeddings, vector databases, pytorch, docker, kubernetes, and cloud deployment.","['python', 'docker', 'kubernetes', 'pytorch', 'nlp', 'embeddings', 'vector databases', 'cloud deployment']",AI/ML,"python, docker, kubernetes, pytorch, nlp, embeddings, vector databases, cloud deployment"
6,AI Engineer,Waabi,Toronto ON,"Develop AI model pipelines using Python, PyTorch, TensorFlow, data pipelines, model monitoring, Docker, and AWS.",Entry Level,ai engineer,"develop ai model pipelines using python, pytorch, tensorflow, data pipelines, model monitoring, docker, and aws.","['python', 'aws', 'docker', 'pytorch', 'tensorflow', 'data pipelines', 'model monitoring', 'monitoring']",AI/ML,"python, aws, docker, pytorch, tensorflow, data pipelines, model monitoring, monitoring"
7,ML Platform Engineer,Amazon,Toronto ON,"Support ML infrastructure using Python, Docker, Kubernetes, AWS, PyTorch, MLflow, CloudWatch, and model monitoring.",Entry Level,ml platform engineer,"support ml infrastructure using python, docker, kubernetes, aws, pytorch, mlflow, cloudwatch, and model monitoring.","['python', 'aws', 'docker', 'kubernetes', 'cloudwatch', 'pytorch', 'mlflow', 'model monitoring', 'monitoring']",AI/ML,"python, aws, docker, kubernetes, cloudwatch, pytorch, mlflow, model monitoring, monitoring"
8,ML Platform Engineer,Manulife,Toronto ON,"Deploy models using Python, Docker, AWS, S3, Lambda, model deployment, model monitoring, and CI/CD.",Entry Level,ml platform engineer,"deploy models using python, docker, aws, s3, lambda, model deployment, model monitoring, and ci/cd.","['python', 'aws', 's3', 'lambda', 'docker', 'ci/cd', 'model deployment', 'model monitoring', 'monitoring']",AI/ML,"python, aws, s3, lambda, docker, ci/cd, model deployment, model monitoring, monitoring"
9,Data Scientist,RBC,Toronto ON,"Analyze customer data using Python, SQL, Pandas, NumPy, scikit-learn, statistics, and data visualization.",Entry Level,data scientist,"analyze customer data using python, sql, pandas, numpy, scikit-learn, statistics, and data visualization.","['python', 'sql', 'pandas', 'numpy', 'scikit-learn', 'statistics', 'data visualization']",Data Science,"python, sql, pandas, numpy, scikit-learn, statistics, data visualization"
10,Data Scientist,TD Bank,Toronto ON,"Build predictive models with Python, SQL, scikit-learn, Pandas, statistics, Tableau, and A/B testing.",Entry Level,data scientist,"build predictive models with python, sql, scikit-learn, pandas, statistics, tableau, and a/b testing.","['python', 'sql', 'pandas', 'scikit-learn', 'tableau', 'a/b testing', 'statistics']",Data Science,"python, sql, pandas, scikit-learn, tableau, a/b testing, statistics"
11,Data Scientist,Scotiabank,Toronto ON,"Use Python, SQL, Pandas, scikit-learn, statistics, AWS, and data visualization to support business decisions.",Entry Level,data scientist,"use python, sql, pandas, scikit-learn, statistics, aws, and data visualization to support business decisions.","['python', 'sql', 'aws', 'pandas', 'scikit-learn', 'statistics', 'data visualization']",Data Science,"python, sql, aws, pandas, scikit-learn, statistics, data visualization"
12,Data Scientist,Manulife,Toronto ON,"Develop models using Python, SQL, NumPy, Pandas, TensorFlow, statistics, and model evaluation workflows.",Entry Level,data scientist,"develop models using python, sql, numpy, pandas, tensorflow, statistics, and model evaluation workflows.","['python', 'sql', 'pandas', 'numpy', 'tensorflow', 'statistics', 'model evaluation', 'model evaluation']",Data Science,"python, sql, pandas, numpy, tensorflow, statistics, model evaluation, model evaluation"
13,Junior Data Scientist,Deloitte,Toronto ON,"Apply Python, SQL, scikit-learn, Pandas, Excel, Tableau, and statistics to solve analytics problems.",Entry Level,junior data scientist,"apply python, sql, scikit-learn, pandas, excel, tableau, and statistics to solve analytics problems.","['python', 'sql', 'pandas', 'scikit-learn', 'tableau', 'excel', 'statistics']",Data Science,"python, sql, pandas, scikit-learn, tableau, excel, statistics"
14,Applied Data Scientist,BMO,Toronto ON,"Work with Python, SQL, machine learning, Pandas, A/B testing, data visualization, and cloud services.",Entry Level,applied data scientist,"work with python, sql, machine learning, pandas, a/b testing, data visualization, and cloud services.","['python', 'sql', 'pandas', 'a/b testing', 'data visualization', 'machine learning']",Data Science,"python, sql, pandas, a/b testing, data visualization, machine learning"
15,Data Analyst,RBC,Toronto ON,"Create reports and dashboards using SQL, Excel, Tableau, Python, data visualization, and business analytics.",Entry Level,data analyst,"create reports and dashboards using sql, excel, tableau, python, data visualization, and business analytics.","['python', 'sql', 'tableau', 'excel', 'data visualization', 'dashboards', 'business analytics']",Analytics,"python, sql, tableau, excel, data visualization, dashboards, business analytics"
16,Product Analyst,Shopify,Toronto ON,"Analyze product metrics using SQL, Python, Tableau, A/B testing, Excel, dashboards, and statistics.",Entry Level,product analyst,"analyze product metrics using sql, python, tableau, a/b testing, excel, dashboards, and statistics.","['python', 'sql', 'tableau', 'excel', 'a/b testing', 'statistics', 'dashboards', 'product metrics']",Analytics,"python, sql, tableau, excel, a/b testing, statistics, dashboards, product metrics"
17,Business Intelligence Analyst,Scotiabank,Toronto ON,"Build BI dashboards using SQL, Power BI, Tableau, Excel, data modeling, and data visualization.",Entry Level,business intelligence analyst,"build bi dashboards using sql, power bi, tableau, excel, data modeling, and data visualization.","['sql', 'tableau', 'power bi', 'excel', 'data visualization', 'dashboards', 'data modeling']",Analytics,"sql, tableau, power bi, excel, data visualization, dashboards, data modeling"
18,Product Analyst,Manulife,Toronto ON,"Use SQL, Excel, Tableau, Power BI, A/B testing, product metrics, and business analytics.",Entry Level,product analyst,"use sql, excel, tableau, power bi, a/b testing, product metrics, and business analytics.","['sql', 'tableau', 'power bi', 'excel', 'a/b testing', 'business analytics', 'product metrics']",Analytics,"sql, tableau, power bi, excel, a/b testing, business analytics, product metrics"
19,Data Analyst,Bell,Toronto ON,"Analyze datasets using SQL, Python, Excel, Power BI, dashboards, and data visualization.",Entry Level,data analyst,"analyze datasets using sql, python, excel, power bi, dashboards, and data visualization.","['python', 'sql', 'power bi', 'excel', 'data visualization', 'dashboards']",Analytics,"python, sql, power bi, excel, data visualization, dashboards"
20,Business Analyst,Deloitte,Toronto ON,"Support business analytics with SQL, Excel, Tableau, documentation, dashboards, and stakeholder reporting.",Entry Level,business analyst,"support business analytics with sql, excel, tableau, documentation, dashboards, and stakeholder reporting.","['sql', 'tableau', 'excel', 'dashboards', 'business analytics']",Analytics,"sql, tableau, excel, dashboards, business analytics"
21,AWS Cloud Engineer,Deloitte,Toronto ON,"Deploy cloud infrastructure using AWS, EC2, S3, Lambda, Docker, Terraform, CloudWatch, and CI/CD.",Entry Level,aws cloud engineer,"deploy cloud infrastructure using aws, ec2, s3, lambda, docker, terraform, cloudwatch, and ci/cd.","['aws', 's3', 'lambda', 'ec2', 'docker', 'terraform', 'cloudwatch', 'ci/cd']",Cloud/AWS,"aws, s3, lambda, ec2, docker, terraform, cloudwatch, ci/cd"
22,AWS Cloud Engineer,RBC,Toronto ON,"Build AWS solutions using S3, Lambda, EC2, API Gateway, CloudWatch, Docker, and Terraform.",Entry Level,aws cloud engineer,"build aws solutions using s3, lambda, ec2, api gateway, cloudwatch, docker, and terraform.","['aws', 's3', 'lambda', 'ec2', 'docker', 'terraform', 'cloudwatch']",Cloud/AWS,"aws, s3, lambda, ec2, docker, terraform, cloudwatch"
23,Cloud Engineer,TD Bank,Toronto ON,"Support cloud services using AWS, Docker, Kubernetes, Terraform, Linux, CI/CD, and CloudWatch.",Entry Level,cloud engineer,"support cloud services using aws, docker, kubernetes, terraform, linux, ci/cd, and cloudwatch.","['aws', 'docker', 'kubernetes', 'terraform', 'cloudwatch', 'ci/cd', 'linux']",Cloud/AWS,"aws, docker, kubernetes, terraform, cloudwatch, ci/cd, linux"
24,Cloud Engineer,Bell,Toronto ON,"Deploy applications on AWS using EC2, S3, Lambda, Docker, API Gateway, and monitoring tools.",Entry Level,cloud engineer,"deploy applications on aws using ec2, s3, lambda, docker, api gateway, and monitoring tools.","['aws', 's3', 'lambda', 'ec2', 'docker', 'monitoring']",Cloud/AWS,"aws, s3, lambda, ec2, docker, monitoring"
25,Junior DevOps Engineer,Manulife,Toronto ON,"Build CI/CD pipelines using Docker, AWS, Terraform, Kubernetes, CloudWatch, Linux, and automation scripts.",Entry Level,junior devops engineer,"build ci/cd pipelines using docker, aws, terraform, kubernetes, cloudwatch, linux, and automation scripts.","['aws', 'docker', 'kubernetes', 'terraform', 'cloudwatch', 'ci/cd', 'linux', 'automation scripts']",Cloud/AWS,"aws, docker, kubernetes, terraform, cloudwatch, ci/cd, linux, automation scripts"
26,Platform Engineer,Shopify,Toronto ON,"Maintain cloud platforms using AWS, Docker, Kubernetes, Terraform, Python, CI/CD, and monitoring.",Entry Level,platform engineer,"maintain cloud platforms using aws, docker, kubernetes, terraform, python, ci/cd, and monitoring.","['python', 'aws', 'docker', 'kubernetes', 'terraform', 'ci/cd', 'monitoring']",Cloud/AWS,"python, aws, docker, kubernetes, terraform, ci/cd, monitoring"
27,Backend Developer,Shopify,Toronto ON,"Build scalable backend APIs using Python, Java, SQL, PostgreSQL, REST APIs, Docker, and AWS.",Entry Level,backend developer,"build scalable backend apis using python, java, sql, postgresql, rest apis, docker, and aws.","['python', 'sql', 'aws', 'docker', 'postgresql', 'rest apis', 'java']",Software Engineering,"python, sql, aws, docker, postgresql, rest apis, java"
28,Backend Developer,RBC,Toronto ON,"Develop backend services using Java, Python, REST APIs, SQL, PostgreSQL, Docker, and cloud services.",Entry Level,backend developer,"develop backend services using java, python, rest apis, sql, postgresql, docker, and cloud services.","['python', 'sql', 'docker', 'postgresql', 'rest apis', 'java']",Software Engineering,"python, sql, docker, postgresql, rest apis, java"
29,Software Engineer,Amazon,Toronto ON,"Build distributed systems using Java, Python, AWS, REST APIs, Docker, SQL, and scalable architecture.",Entry Level,software engineer,"build distributed systems using java, python, aws, rest apis, docker, sql, and scalable architecture.","['python', 'sql', 'aws', 'docker', 'rest apis', 'java']",Software Engineering,"python, sql, aws, docker, rest apis, java"
30,Software Engineer,Bell,Toronto ON,"Develop software services using Python, JavaScript, TypeScript, Node.js, REST APIs, SQL, and Docker.",Entry Level,software engineer,"develop software services using python, javascript, typescript, node.js, rest apis, sql, and docker.","['python', 'sql', 'docker', 'rest apis', 'typescript', 'node.js']",Software Engineering,"python, sql, docker, rest apis, typescript, node.js"
31,Full Stack Developer,Deloitte,Toronto ON,"Build web applications using React, TypeScript, Node.js, REST APIs, PostgreSQL, Docker, and AWS.",Entry Level,full stack developer,"build web applications using react, typescript, node.js, rest apis, postgresql, docker, and aws.","['aws', 'docker', 'postgresql', 'rest apis', 'typescript', 'react', 'node.js']",Software Engineering,"aws, docker, postgresql, rest apis, typescript, react, node.js"
32,Backend Engineer,TD Bank,Toronto ON,"Work on APIs using Java, Python, SQL, REST APIs, PostgreSQL, CI/CD, and cloud deployment.",Entry Level,backend engineer,"work on apis using java, python, sql, rest apis, postgresql, ci/cd, and cloud deployment.","['python', 'sql', 'postgresql', 'rest apis', 'java', 'ci/cd', 'cloud deployment']",Software Engineering,"python, sql, postgresql, rest apis, java, ci/cd, cloud deployment"
33,Data Engineer,RBC,Toronto ON,"Build ETL pipelines using Python, SQL, Spark, Airflow, AWS, S3, Redshift, and data warehousing tools.",Entry Level,data engineer,"build etl pipelines using python, sql, spark, airflow, aws, s3, redshift, and data warehousing tools.","['python', 'sql', 'aws', 's3', 'redshift', 'spark', 'airflow', 'etl', 'data warehousing']",Data Engineering,"python, sql, aws, s3, redshift, spark, airflow, etl, data warehousing"
34,Data Engineer,TD Bank,Toronto ON,"Develop data pipelines using Python, SQL, PySpark, Airflow, Spark, AWS, and data warehousing.",Entry Level,data engineer,"develop data pipelines using python, sql, pyspark, airflow, spark, aws, and data warehousing.","['python', 'sql', 'aws', 'spark', 'pyspark', 'airflow', 'data pipelines', 'data warehousing']",Data Engineering,"python, sql, aws, spark, pyspark, airflow, data pipelines, data warehousing"
35,Junior Data Engineer,Scotiabank,Toronto ON,"Support ETL workflows using SQL, Python, Spark, S3, Redshift, Docker, and data pipelines.",Entry Level,junior data engineer,"support etl workflows using sql, python, spark, s3, redshift, docker, and data pipelines.","['python', 'sql', 's3', 'docker', 'redshift', 'spark', 'data pipelines', 'etl']",Data Engineering,"python, sql, s3, docker, redshift, spark, data pipelines, etl"
36,Data Engineer,Bell,Toronto ON,"Build batch processing systems with Python, SQL, PySpark, Spark, Airflow, PostgreSQL, and AWS.",Entry Level,data engineer,"build batch processing systems with python, sql, pyspark, spark, airflow, postgresql, and aws.","['python', 'sql', 'aws', 'postgresql', 'spark', 'pyspark', 'airflow']",Data Engineering,"python, sql, aws, postgresql, spark, pyspark, airflow"
37,Analytics Engineer,Shopify,Toronto ON,"Model analytics data using SQL, Python, data warehousing, dbt, dashboards, and data pipelines.",Entry Level,analytics engineer,"model analytics data using sql, python, data warehousing, dbt, dashboards, and data pipelines.","['python', 'sql', 'data pipelines', 'data warehousing', 'dashboards', 'dbt']",Analytics,"python, sql, data pipelines, data warehousing, dashboards, dbt"
38,Cloud Data Engineer,Deloitte,Toronto ON,"Create AWS data pipelines using S3, Lambda, Spark, Python, SQL, Redshift, and ETL tools.",Entry Level,cloud data engineer,"create aws data pipelines using s3, lambda, spark, python, sql, redshift, and etl tools.","['python', 'sql', 'aws', 's3', 'lambda', 'redshift', 'spark', 'data pipelines', 'etl']",Data Engineering,"python, sql, aws, s3, lambda, redshift, spark, data pipelines, etl"
39,Machine Learning Intern,Cohere,Toronto ON,"Assist ML teams with Python, PyTorch, Pandas, NumPy, SQL, model evaluation, and NLP experiments.",Entry Level,machine learning intern,"assist ml teams with python, pytorch, pandas, numpy, sql, model evaluation, and nlp experiments.","['python', 'sql', 'pandas', 'numpy', 'pytorch', 'nlp', 'model evaluation', 'model evaluation']",AI/ML,"python, sql, pandas, numpy, pytorch, nlp, model evaluation, model evaluation"
40,Junior Cloud Developer,Amazon,Toronto ON,"Develop cloud applications using AWS, Lambda, API Gateway, Python, Docker, CloudWatch, and REST APIs.",Entry Level,junior cloud developer,"develop cloud applications using aws, lambda, api gateway, python, docker, cloudwatch, and rest apis.","['python', 'aws', 'lambda', 'docker', 'cloudwatch', 'rest apis']",Cloud/AWS,"python, aws, lambda, docker, cloudwatch, rest apis"
41,Machine Learning Engineer,Microsoft,Vancouver BC,"Build machine learning services using Python, PyTorch, scikit-learn, Docker, Azure, AWS, MLflow, and model deployment workflows.",Entry Level,machine learning engineer,"build machine learning services using python, pytorch, scikit-learn, docker, azure, aws, mlflow, and model deployment workflows.","['python', 'aws', 'docker', 'scikit-learn', 'pytorch', 'mlflow', 'model deployment', 'machine learning']",AI/ML,"python, aws, docker, scikit-learn, pytorch, mlflow, model deployment, machine learning"
42,AI Engineer,Layer 6 AI,Vancouver BC,"Develop AI applications using Python, NLP, embeddings, vector databases, PyTorch, REST APIs, Docker, and cloud deployment.",Entry Level,ai engineer,"develop ai applications using python, nlp, embeddings, vector databases, pytorch, rest apis, docker, and cloud deployment.","['python', 'docker', 'pytorch', 'nlp', 'embeddings', 'vector databases', 'rest apis', 'cloud deployment']",AI/ML,"python, docker, pytorch, nlp, embeddings, vector databases, rest apis, cloud deployment"
43,Data Scientist,Telus,Vancouver BC,"Analyze business and customer data using Python, SQL, Pandas, NumPy, statistics, Tableau, and data visualization.",Entry Level,data scientist,"analyze business and customer data using python, sql, pandas, numpy, statistics, tableau, and data visualization.","['python', 'sql', 'pandas', 'numpy', 'tableau', 'statistics', 'data visualization']",Data Science,"python, sql, pandas, numpy, tableau, statistics, data visualization"
